network,country_name,country_name
77.240.80.0/20,Asia,Saudi Arabia
77.240.128.0/20,Asia,Saudi Arabia
78.93.0.0/16,Asia,Saudi Arabia
78.95.0.0/16,Asia,Saudi Arabia
78.110.0.0/20,Asia,Saudi Arabia
78.138.192.0/18,Asia,Saudi Arabia
79.170.0.0/22,Asia,Saudi Arabia
79.170.4.0/24,Asia,Saudi Arabia
79.170.5.0/24,Asia,Saudi Arabia
79.170.6.0/23,Asia,Saudi Arabia
79.170.48.0/21,Asia,Saudi Arabia
79.172.128.0/18,Asia,Saudi Arabia
80.74.80.0/20,Asia,Saudi Arabia
80.240.64.0/20,Asia,Saudi Arabia
81.16.208.0/20,Asia,Saudi Arabia
81.21.48.0/20,Asia,Saudi Arabia
82.116.140.0/27,Asia,Saudi Arabia
82.116.140.32/32,Asia,Saudi Arabia
82.116.140.34/31,Asia,Saudi Arabia
82.116.140.36/30,Asia,Saudi Arabia
82.116.140.40/32,Asia,Saudi Arabia
82.116.140.42/31,Asia,Saudi Arabia
82.116.140.44/30,Asia,Saudi Arabia
82.116.140.48/28,Asia,Saudi Arabia
82.116.140.64/26,Asia,Saudi Arabia
82.116.140.128/25,Asia,Saudi Arabia
82.118.160.0/19,Asia,Saudi Arabia
82.147.192.0/19,Asia,Saudi Arabia
82.167.0.0/16,Asia,Saudi Arabia
82.214.196.0/24,Asia,Saudi Arabia
83.101.128.0/17,Asia,Saudi Arabia
84.22.224.0/19,Asia,Saudi Arabia
84.23.96.0/19,Asia,Saudi Arabia
84.235.0.0/18,Asia,Saudi Arabia
84.235.64.0/19,Asia,Saudi Arabia
84.235.104.0/21,Asia,Saudi Arabia
84.235.112.0/20,Asia,Saudi Arabia
85.90.74.176/29,Asia,Saudi Arabia
85.129.128.0/17,Asia,Saudi Arabia
85.194.64.0/18,Asia,Saudi Arabia
85.208.0.0/15,Asia,Saudi Arabia
85.237.128.0/19,Asia,Saudi Arabia
86.51.0.0/16,Asia,Saudi Arabia
86.60.0.0/17,Asia,Saudi Arabia
86.111.192.0/21,Asia,Saudi Arabia
87.101.128.0/19,Asia,Saudi Arabia
87.101.160.0/20,Asia,Saudi Arabia
87.101.176.0/21,Asia,Saudi Arabia
87.101.184.0/24,Asia,Saudi Arabia
87.101.185.0/24,Asia,Saudi Arabia
87.101.186.0/23,Asia,Saudi Arabia
87.101.188.0/22,Asia,Saudi Arabia
87.101.192.0/18,Asia,Saudi Arabia
87.109.0.0/16,Asia,Saudi Arabia
87.230.128.0/17,Asia,Saudi Arabia
87.236.197.182/32,Asia,Saudi Arabia
88.81.0.0/19,Asia,Saudi Arabia
88.84.96.0/19,Asia,Saudi Arabia
88.85.224.0/19,Asia,Saudi Arabia
88.213.0.0/17,Asia,Saudi Arabia
89.4.0.0/15,Asia,Saudi Arabia
89.108.0.0/18,Asia,Saudi Arabia
89.144.64.0/18,Asia,Saudi Arabia
89.147.0.0/18,Asia,Saudi Arabia
89.149.244.183/32,Asia,Saudi Arabia
89.149.244.186/32,Asia,Saudi Arabia
89.189.224.0/19,Asia,Saudi Arabia
89.237.128.0/18,Asia,Saudi Arabia
90.148.0.0/16,Asia,Saudi Arabia
91.102.16.0/21,Asia,Saudi Arabia
91.147.128.0/18,Asia,Saudi Arabia
91.151.160.0/20,Asia,Saudi Arabia
91.195.88.0/23,Asia,Saudi Arabia
91.198.62.0/24,Asia,Saudi Arabia
91.198.102.0/24,Asia,Saudi Arabia
91.198.251.0/24,Asia,Saudi Arabia
91.199.107.0/24,Asia,Saudi Arabia
91.199.187.0/24,Asia,Saudi Arabia
91.206.134.0/23,Asia,Saudi Arabia
91.208.4.0/24,Asia,Saudi Arabia
91.208.156.0/24,Asia,Saudi Arabia
91.209.253.0/24,Asia,Saudi Arabia
91.212.67.0/24,Asia,Saudi Arabia
91.213.18.0/24,Asia,Saudi Arabia
91.213.205.0/24,Asia,Saudi Arabia
91.213.213.0/24,Asia,Saudi Arabia
91.221.22.0/23,Asia,Saudi Arabia
91.221.184.0/23,Asia,Saudi Arabia
91.221.202.0/23,Asia,Saudi Arabia
91.222.200.0/22,Asia,Saudi Arabia
91.223.210.0/24,Asia,Saudi Arabia
91.227.22.0/24,Asia,Saudi Arabia
91.227.24.0/23,Asia,Saudi Arabia
91.229.32.0/23,Asia,Saudi Arabia
91.229.220.0/24,Asia,Saudi Arabia
91.230.124.0/23,Asia,Saudi Arabia
91.233.141.0/24,Asia,Saudi Arabia
91.233.174.0/24,Asia,Saudi Arabia
91.237.21.0/24,Asia,Saudi Arabia
91.237.22.0/23,Asia,Saudi Arabia
91.237.28.0/22,Asia,Saudi Arabia
91.238.113.0/24,Asia,Saudi Arabia
92.43.168.0/21,Asia,Saudi Arabia
92.48.0.0/18,Asia,Saudi Arabia
93.98.0.0/16,Asia,Saudi Arabia
93.112.0.0/16,Asia,Saudi Arabia
93.168.0.0/15,Asia,Saudi Arabia
93.178.0.0/18,Asia,Saudi Arabia
93.189.96.0/21,Asia,Saudi Arabia
93.189.192.0/21,Asia,Saudi Arabia
94.48.0.0/15,Asia,Saudi Arabia
94.77.192.0/18,Asia,Saudi Arabia
94.96.0.0/14,Asia,Saudi Arabia
94.143.224.0/21,Asia,Saudi Arabia
95.129.8.0/21,Asia,Saudi Arabia
95.184.0.0/14,Asia,Saudi Arabia
95.218.0.0/15,Asia,Saudi Arabia
104.167.227.0/24,Asia,Saudi Arabia
104.222.210.0/24,Asia,Saudi Arabia
109.82.0.0/15,Asia,Saudi Arabia
109.171.128.0/17,Asia,Saudi Arabia
119.81.172.96/32,Asia,Saudi Arabia
128.127.192.0/18,Asia,Saudi Arabia
128.204.240.0/20,Asia,Saudi Arabia
128.234.0.0/16,Asia,Saudi Arabia
129.208.0.0/16,Asia,Saudi Arabia
130.255.176.0/21,Asia,Saudi Arabia
146.251.0.0/16,Asia,Saudi Arabia
147.108.76.0/23,Asia,Saudi Arabia
149.3.160.0/20,Asia,Saudi Arabia
149.255.16.0/21,Asia,Saudi Arabia
151.254.0.0/15,Asia,Saudi Arabia
159.0.0.0/16,Asia,Saudi Arabia
166.87.0.0/16,Asia,Saudi Arabia
167.88.111.0/24,Asia,Saudi Arabia
167.111.0.0/16,Asia,Saudi Arabia
176.16.0.0/14,Asia,Saudi Arabia
176.44.0.0/15,Asia,Saudi Arabia
176.47.0.0/16,Asia,Saudi Arabia
176.110.100.0/24,Asia,Saudi Arabia
176.224.0.0/15,Asia,Saudi Arabia
176.241.184.0/21,Asia,Saudi Arabia
178.20.144.0/21,Asia,Saudi Arabia
178.73.64.0/18,Asia,Saudi Arabia
178.80.0.0/15,Asia,Saudi Arabia
178.86.0.0/15,Asia,Saudi Arabia
185.2.232.0/22,Asia,Saudi Arabia
185.3.122.0/24,Asia,Saudi Arabia
185.5.152.0/22,Asia,Saudi Arabia
185.10.112.0/22,Asia,Saudi Arabia
185.12.164.0/22,Asia,Saudi Arabia
